time,gc,lat,lon,date
1485378686,42,40.1095557,-88.2271646,1/25/2017 21:11
1485378689,44,40.1095557,-88.2271646,1/25/2017 21:11
1485378690,45,40.1095555,-88.2271504,1/25/2017 21:11
1485378700,41,40.1095555,-88.2271504,1/25/2017 21:11
1485378701,48,40.1095555,-88.2271504,1/25/2017 21:11
1485378702,51,40.1095555,-88.2271504,1/25/2017 21:11
1485378703,55,40.1095555,-88.2271504,1/25/2017 21:11
1485378704,51,40.1095555,-88.2271504,1/25/2017 21:11
1485378705,68,40.1095555,-88.2271504,1/25/2017 21:11
1485378706,59,40.1094922,-88.2271415,1/25/2017 21:11
1485378707,62,40.1094922,-88.2271415,1/25/2017 21:11
1485378708,55,40.1094922,-88.2271415,1/25/2017 21:11
1485378709,45,40.1094922,-88.2271415,1/25/2017 21:11
1485378711,50,40.1094134,-88.2271063,1/25/2017 21:11
1485378712,65,40.1093812,-88.2269605,1/25/2017 21:11
1485378713,49,40.1093712,-88.2269498,1/25/2017 21:11
1485378716,54,40.109361,-88.2269377,1/25/2017 21:11
1485378717,51,40.1093426,-88.2269173,1/25/2017 21:11
1485378718,46,40.1093348,-88.2269077,1/25/2017 21:11
1485378719,42,40.1093256,-88.2269009,1/25/2017 21:11
1485378720,44,40.1093256,-88.2269009,1/25/2017 21:12
1485378721,52,40.1092981,-88.2268775,1/25/2017 21:12
1485378722,50,40.1092981,-88.2268775,1/25/2017 21:12
1485378723,43,40.1092516,-88.2268085,1/25/2017 21:12
1485378724,46,40.1092516,-88.2268085,1/25/2017 21:12
1485378725,45,40.1091964,-88.2267636,1/25/2017 21:12
1485378726,55,40.1091735,-88.2267432,1/25/2017 21:12
1485378727,41,40.1091557,-88.2267247,1/25/2017 21:12
1485378729,42,40.1091117,-88.226678,1/25/2017 21:12
1485378730,58,40.1091117,-88.226678,1/25/2017 21:12
1485378732,49,40.1090873,-88.2266508,1/25/2017 21:12
1485378733,58,40.1090873,-88.2266508,1/25/2017 21:12
1485378734,56,40.1090666,-88.2266244,1/25/2017 21:12
1485378735,62,40.1090666,-88.2266244,1/25/2017 21:12
1485378736,60,40.1090666,-88.2266244,1/25/2017 21:12
1485378737,59,40.1090666,-88.2266244,1/25/2017 21:12
1485378738,49,40.1090666,-88.2266244,1/25/2017 21:12
1485378740,42,40.1090666,-88.2266244,1/25/2017 21:12
1485378741,42,40.1090666,-88.2266244,1/25/2017 21:12
1485378744,42,40.108834,-88.2270619,1/25/2017 21:12
1485378745,41,40.1088797,-88.2270097,1/25/2017 21:12
1485378746,44,40.1089233,-88.2270419,1/25/2017 21:12
1485378748,42,40.1089233,-88.2270419,1/25/2017 21:12
1485378750,53,40.1089447,-88.2270127,1/25/2017 21:12
1485378751,44,40.108936,-88.2269996,1/25/2017 21:12
1485378752,61,40.1089281,-88.226988,1/25/2017 21:12
1485378753,58,40.1089281,-88.226988,1/25/2017 21:12
1485378754,70,40.1089162,-88.2269714,1/25/2017 21:12
1485378756,75,40.1089209,-88.2269662,1/25/2017 21:12
1485378758,79,40.1089209,-88.2269662,1/25/2017 21:12
1485378759,85,40.1089164,-88.2269537,1/25/2017 21:12
1485378760,47,40.1089164,-88.2269537,1/25/2017 21:12
1485378761,53,40.1089032,-88.226947,1/25/2017 21:12
1485378766,47,40.1088627,-88.2269118,1/25/2017 21:12
1485378772,43,40.1088096,-88.2268526,1/25/2017 21:12
1485378784,42,40.1086766,-88.2268309,1/25/2017 21:13
1485378785,43,40.1086766,-88.2268309,1/25/2017 21:13
1485378790,48,40.1086171,-88.2268408,1/25/2017 21:13
1485378792,42,40.1085948,-88.2268391,1/25/2017 21:13
1485378793,42,40.1085735,-88.2268382,1/25/2017 21:13
1485378801,46,40.1084847,-88.2268293,1/25/2017 21:13
1485378802,53,40.1084614,-88.2268264,1/25/2017 21:13
1485378804,46,40.1084385,-88.2268223,1/25/2017 21:13
1485378809,48,40.1083989,-88.2268148,1/25/2017 21:13
1485378811,47,40.1083771,-88.226811,1/25/2017 21:13
1485378813,44,40.1083556,-88.2268023,1/25/2017 21:13
1485378814,48,40.1083556,-88.2268023,1/25/2017 21:13
1485378815,44,40.1083319,-88.2267973,1/25/2017 21:13
1485378816,42,40.1083319,-88.2267973,1/25/2017 21:13
1485378818,44,40.1083078,-88.2267996,1/25/2017 21:13
1485378823,42,40.1082362,-88.2268056,1/25/2017 21:13
1485378825,44,40.1081957,-88.2268076,1/25/2017 21:13
1485378828,48,40.1081502,-88.2267976,1/25/2017 21:13
1485378829,44,40.1081395,-88.2267917,1/25/2017 21:13
1485378841,49,40.1080697,-88.2266566,1/25/2017 21:14
1485378843,49,40.1080736,-88.2266331,1/25/2017 21:14
1485378846,49,40.1080807,-88.2265721,1/25/2017 21:14
1485378847,42,40.108081,-88.2265552,1/25/2017 21:14
1485378850,43,40.1080774,-88.226497,1/25/2017 21:14
1485378852,42,40.1080774,-88.226497,1/25/2017 21:14
1485378854,51,40.1080734,-88.2264625,1/25/2017 21:14
1485378855,52,40.1080699,-88.2264317,1/25/2017 21:14
1485359414,41,40.1083878,-88.2288142,1/25/2017 15:50
1485359420,41,40.1082926,-88.2287663,1/25/2017 15:50
1485359422,44,40.1082926,-88.2287663,1/25/2017 15:50
1485359430,42,40.1081613,-88.228794,1/25/2017 15:50
1485359433,41,40.1081163,-88.2288003,1/25/2017 15:50
1485359455,46,40.1078721,-88.2286225,1/25/2017 15:50
1485359457,49,40.1078721,-88.2286225,1/25/2017 15:50
1485359459,44,40.1078531,-88.2286128,1/25/2017 15:50
1485359461,54,40.1078325,-88.2285844,1/25/2017 15:51
1485359463,45,40.1078172,-88.2285738,1/25/2017 15:51
1485359465,46,40.1078017,-88.2285682,1/25/2017 15:51
1485359472,42,40.1077225,-88.2285539,1/25/2017 15:51
1485359474,47,40.1077225,-88.2285539,1/25/2017 15:51
1485359477,46,40.1076805,-88.2285769,1/25/2017 15:51
1485359478,51,40.1076805,-88.2285769,1/25/2017 15:51
1485359483,42,40.1076488,-88.228575,1/25/2017 15:51
1485359485,46,40.1076488,-88.228575,1/25/2017 15:51
1485359502,43,40.1076609,-88.2285617,1/25/2017 15:51
1485359503,42,40.1076609,-88.2285617,1/25/2017 15:51
1485359546,48,40.1076609,-88.2285617,1/25/2017 15:52
1485359554,46,40.1076609,-88.2285617,1/25/2017 15:52
1485359560,41,40.1076609,-88.2285617,1/25/2017 15:52
1485359581,46,40.1076609,-88.2285617,1/25/2017 15:53
1485359595,49,40.1076609,-88.2285617,1/25/2017 15:53
1485359600,47,40.1076609,-88.2285617,1/25/2017 15:53
1485359613,41,40.1076609,-88.2285617,1/25/2017 15:53
1485359614,41,40.1076609,-88.2285617,1/25/2017 15:53
1485359623,43,40.1076609,-88.2285617,1/25/2017 15:53
1485359640,48,40.1076609,-88.2285617,1/25/2017 15:54
1485359654,42,40.1076609,-88.2285617,1/25/2017 15:54
1485359660,41,40.1076609,-88.2285617,1/25/2017 15:54
1485359662,42,40.1076658,-88.2285651,1/25/2017 15:54
1485359691,280,40.1076658,-88.2285651,1/25/2017 15:54
1485359698,276,40.1076658,-88.2285651,1/25/2017 15:54
1485359699,273,40.1076658,-88.2285651,1/25/2017 15:54
1485359702,274,40.1076658,-88.2285651,1/25/2017 15:55
1485359748,270,40.1076658,-88.2285651,1/25/2017 15:55
1485359749,273,40.1076658,-88.2285651,1/25/2017 15:55
1485359750,267,40.1076658,-88.2285651,1/25/2017 15:55
1485359751,277,40.1076658,-88.2285651,1/25/2017 15:55
1485359752,267,40.1076658,-88.2285651,1/25/2017 15:55
1485359753,285,40.1076658,-88.2285651,1/25/2017 15:55
1485359755,281,40.1076658,-88.2285651,1/25/2017 15:55
1485359756,260,40.1076658,-88.2285651,1/25/2017 15:55
1485359757,272,40.1076658,-88.2285651,1/25/2017 15:55
1485359758,274,40.1076658,-88.2285651,1/25/2017 15:55
1485359759,284,40.1076658,-88.2285651,1/25/2017 15:55
1485359760,285,40.1076658,-88.2285651,1/25/2017 15:56
1485359761,287,40.1076658,-88.2285651,1/25/2017 15:56
1485359762,281,40.1076658,-88.2285651,1/25/2017 15:56
1485359763,290,40.1076658,-88.2285651,1/25/2017 15:56
1485359764,277,40.1076658,-88.2285651,1/25/2017 15:56
1485359765,285,40.1076658,-88.2285651,1/25/2017 15:56
1485359766,289,40.1076658,-88.2285651,1/25/2017 15:56
1485359767,287,40.1076658,-88.2285651,1/25/2017 15:56
1485359768,280,40.1076658,-88.2285651,1/25/2017 15:56
1485359769,272,40.1076658,-88.2285651,1/25/2017 15:56
1485359770,282,40.1076658,-88.2285651,1/25/2017 15:56
1485359771,270,40.1076658,-88.2285651,1/25/2017 15:56
1485359772,298,40.1076658,-88.2285651,1/25/2017 15:56
1485359773,273,40.1076658,-88.2285651,1/25/2017 15:56
1485359774,275,40.1076658,-88.2285651,1/25/2017 15:56
1485359775,274,40.1076658,-88.2285651,1/25/2017 15:56
1485359776,289,40.1076658,-88.2285651,1/25/2017 15:56
1485359777,281,40.1076658,-88.2285651,1/25/2017 15:56
1485359778,296,40.1076658,-88.2285651,1/25/2017 15:56
1485359779,281,40.1076658,-88.2285651,1/25/2017 15:56
1485359780,273,40.1076658,-88.2285651,1/25/2017 15:56
1485359781,274,40.1076658,-88.2285651,1/25/2017 15:56
1485359782,279,40.1076658,-88.2285651,1/25/2017 15:56
1485359783,275,40.1076658,-88.2285651,1/25/2017 15:56
1485359784,284,40.1076658,-88.2285651,1/25/2017 15:56
1485359785,282,40.1076658,-88.2285651,1/25/2017 15:56
1485359786,281,40.1076658,-88.2285651,1/25/2017 15:56
1485359787,275,40.1076658,-88.2285651,1/25/2017 15:56
1485359788,279,40.1076658,-88.2285651,1/25/2017 15:56
1485359789,274,40.1076658,-88.2285651,1/25/2017 15:56
1485359790,280,40.1076658,-88.2285651,1/25/2017 15:56
1485359791,282,40.1076658,-88.2285651,1/25/2017 15:56
1485359792,288,40.1076658,-88.2285651,1/25/2017 15:56
1485359794,285,40.1076658,-88.2285651,1/25/2017 15:56
1485359795,280,40.1076658,-88.2285651,1/25/2017 15:56
1485359796,275,40.1076658,-88.2285651,1/25/2017 15:56
1485359797,272,40.1076658,-88.2285651,1/25/2017 15:56
